,yrmts,ppt
461,1933jan,0.560000002
462,1933jul,14.85000038
463,1933jun,11.05000019
464,1933mar,4.46999979
465,1933may,7
466,1933nov,3.940000057
467,1933oct,10.38000011
468,1933sep,10.40999985
469,1934apr,6.820000172
470,1934aug,13.84000015
471,1934dec,3.559999943
472,1934feb,5
473,1934jan,4.170000076
474,1934jul,13.42000008
475,1934jun,12.07999992
476,1934mar,6.599999905
477,1934may,9.859999657
478,1934nov,7.050000191
479,1934oct,9.869999886
480,1934sep,12.03999996
481,1935apr,6.739999771
482,1935aug,13.68000031
483,1935dec,2.430000067
484,1935feb,3.140000105
485,1935jan,2.150000095
486,1935jul,13.44999981
487,1935jun,12.56000042
488,1935mar,1.409999967
489,1935may,8.489999771
490,1935nov,3.130000114
491,1935oct,8.340000153
492,1935sep,11.75
493,1936apr,6.579999924
494,1936aug,13.53999996
495,1936dec,1.450000048
496,1936feb,3.769999981
497,1936jan,4.239999771
498,1936jul,14.71000004
499,1936jun,12.27999973
500,1936mar,4.170000076
501,1936may,10.01000023
502,1936nov,2.279999971
503,1936oct,9.239999771
504,1936sep,11.18000031
505,1937apr,5.130000114
506,1937aug,12.96000004
507,1937dec,4.199999809
508,1937feb,1.840000033
509,1937jan,-1.909999967
510,1937jul,14.68000031
511,1937jun,12.21000004
512,1937mar,4.789999962
513,1937may,9.239999771
514,1937nov,6.809999943
515,1937oct,9.800000191
516,1937sep,11.47999954
517,1938apr,6.03000021
518,1938aug,12.35000038
519,1938dec,3.920000076
520,1938feb,3.799999952
521,1938jan,3.220000029
522,1938jul,14.85999966
523,1938jun,12.60999966
524,1938mar,4.28000021
525,1938may,9.090000153
526,1938nov,2.480000019
527,1938oct,9.140000343
528,1938sep,12.72000027
529,1939apr,6.480000019
530,1939aug,13.31000042
531,1939dec,4.53000021
532,1939feb,0.660000026
533,1939jan,1.659999967
534,1939jul,14.26000023
535,1939jun,11.19999981
536,1939mar,4.179999828
537,1939may,9.260000229
538,1939nov,3.210000038
539,1939oct,8.399999619
540,1939sep,12.71000004
541,1940apr,6.820000172
542,1940aug,13.60999966
543,1940dec,4.820000172
544,1940feb,5.889999866
545,1940jan,5.039999962
546,1940jul,13.85000038
547,1940jun,13.25
548,1940mar,5.46999979
549,1940may,10.06000042
550,1940nov,4.679999828
551,1940oct,9.180000305
552,1940sep,12.61999989
553,1941apr,5.849999905
554,1941aug,13.90999985
555,1941dec,5
556,1941feb,5.769999981
557,1941jan,4.949999809
558,1941jul,15.05000019
559,1941jun,11.30000019
560,1941mar,4.989999771
561,1941may,10.27000046
562,1941nov,6.119999886
563,1941oct,8.279999733
564,1941sep,10.94999981
565,1942apr,5.630000114
566,1942aug,13.40999985
567,1942dec,4.130000114
568,1942feb,2.210000038
569,1942jan,3.049999952
570,1942jul,14.64999962
571,1942jun,11.10999966
572,1942mar,1.889999986
573,1942may,7.119999886
574,1942nov,4.710000038
575,1942oct,9.329999924
576,1942sep,11.55000019
577,1943apr,7.050000191
578,1943aug,12.63000011
579,1943dec,3.589999914
580,1943feb,3.150000095
581,1943jan,2.220000029
582,1943jul,14.51000023
583,1943jun,9.989999771
584,1943mar,5.179999828
585,1943may,9.760000229
586,1943nov,4.809999943
587,1943oct,9.31000042
588,1943sep,12.67000008
589,1944apr,4.650000095
590,1944aug,12.96000004
591,1944dec,4.420000076
592,1944feb,2.630000114
593,1944jan,2.25999999
594,1944jul,13.85999966
595,1944jun,11.25
596,1944mar,3.599999905
597,1944may,9.06000042
598,1944nov,5.599999905
599,1944oct,10.18999958
600,1944sep,13.14999962
601,1945apr,5.409999847
602,1945aug,12.92000008
603,1945dec,4.440000057
604,1945feb,3.720000029
605,1945jan,2.349999905
606,1945jul,15.35999966
607,1945jun,12.47999954
608,1945mar,2.24000001
609,1945may,9.109999657
610,1945nov,6.480000019
611,1945oct,11.27999973
612,1945sep,12.93999958
613,1946apr,4.809999943
614,1946aug,13.22999954
615,1946dec,4.289999962
616,1946feb,0.540000021
617,1946jan,1.659999967
618,1946jul,14.80000019
619,1946jun,10.39999962
620,1946mar,3.589999914
621,1946may,8.460000038
622,1946nov,4.239999771
623,1946oct,7.760000229
624,1946sep,11.43999958
625,1947apr,6.619999886
626,1947aug,12.52000046
627,1947dec,2.049999952
628,1947feb,3.319999933
629,1947jan,-0.670000017
630,1947jul,12.85999966
631,1947jun,12.22999954
632,1947mar,5.510000229
633,1947may,10.36999989
634,1947nov,3.799999952
635,1947oct,10.47000027
636,1947sep,12.25
637,1948apr,4.480000019
638,1948aug,12.93999958
639,1948dec,1.340000033
640,1948feb,0.970000029
641,1948jan,2
642,1948jul,13.53999996
643,1948jun,12.39999962
644,1948mar,1.889999986
645,1948may,7.440000057
646,1948nov,3.920000076
647,1948oct,9.010000229
648,1948sep,11.77000046
649,1949apr,6.130000114
650,1949aug,12.47999954
651,1949dec,1.090000033
652,1949feb,0.779999971
653,1949jan,-2.460000038
654,1949jul,13.14000034
655,1949jun,11.97000027
656,1949mar,4.940000057
657,1949may,9.569999695
658,1949nov,6.010000229
659,1949oct,7.380000114
660,1949sep,12.93999958
661,1950apr,6.010000229
662,1950aug,13.92000008
663,1950dec,6.690000057
664,1950feb,2.349999905
665,1950jan,0.50999999
666,1950jul,15.19999981
667,1950jun,10.97999954
668,1950mar,2.99000001
669,1950may,8.680000305
670,1950nov,8.270000458
671,1950oct,10.21000004
672,1950sep,12.78999996
673,1951apr,6.110000134
674,1951aug,13.55000019
675,1951dec,3.430000067
676,1951feb,3.019999981
677,1951jan,3.119999886
678,1951jul,13.52999973
679,1951jun,11.77999973
680,1951mar,2.670000076
681,1951may,9.920000076
682,1951nov,5.880000114
683,1951oct,9.149999619
684,1951sep,12.77999973
685,1952apr,6.309999943
686,1952aug,11.96000004
687,1952dec,4.179999828
688,1952feb,2.869999886
689,1952jan,2.049999952
690,1952jul,16.12999916
691,1952jun,9.68999958
692,1952mar,2.640000105
693,1952may,9.510000229
694,1952nov,4.199999809
695,1952oct,10.72999954
696,1952sep,13.36999989
697,1953apr,5.059999943
698,1953aug,13.05000019
699,1953dec,4.829999924
700,1953feb,3.00999999
701,1953jan,5.090000153
702,1953jul,15.88000011
703,1953jun,10.09000015
704,1953mar,2.710000038
705,1953may,7.190000057
706,1953nov,6.800000191
707,1953oct,9.409999847
708,1953sep,13.56999969
709,1954apr,7.590000153
710,1954aug,11.56000042
711,1954dec,2.049999952
712,1954feb,4.639999866
713,1954jan,2.539999962
714,1954jul,13.90999985
715,1954jun,11.03999996
716,1954mar,2.819999933
717,1954may,9.050000191
718,1954nov,5.190000057
719,1954oct,7.050000191
720,1954sep,10.14999962
721,1955apr,2.49000001
722,1955aug,12.89999962
723,1955dec,6.179999828
724,1955feb,-0.170000002
725,1955jan,-0.370000005
726,1955jul,12.02999973
727,1955jun,10.64000034
728,1955mar,1.669999957
729,1955may,8.430000305
730,1955nov,3.75999999
731,1955oct,7.809999943
732,1955sep,11.30000019
733,1956apr,5.349999905
734,1956aug,12.21000004
735,1956dec,1.570000052
736,1956feb,-0.230000004
737,1956jan,3.269999981
738,1956jul,13.67000008
739,1956jun,11.36999989
740,1956mar,2.109999895
741,1956may,8.609999657
742,1956nov,5.25
743,1956oct,8
744,1956sep,10.72999954
745,1957apr,6.440000057
746,1957aug,12.23999977
747,1957dec,3.940000057
748,1957feb,4.300000191
749,1957jan,-0.289999992
750,1957jul,13.77000046
751,1957jun,13.5
752,1957mar,4.460000038
753,1957may,8.920000076
754,1957nov,4.869999886
755,1957oct,8.93999958
756,1957sep,12.71000004
757,1958apr,6.059999943
758,1958aug,16.23999977
759,1958dec,5.389999866
760,1958feb,5.929999828
761,1958jan,3.24000001
762,1958jul,14.81000042
763,1958jun,12.07999992
764,1958mar,2.289999962
765,1958may,9.720000267
766,1958nov,5.630000114
767,1958oct,10.56000042
768,1958sep,13.64000034
769,1959apr,7.130000114
770,1959aug,13.19999981
771,1959dec,2.920000076
772,1959feb,1.899999976
773,1959jan,3.619999886
774,1959jul,14.76000023
775,1959jun,12.31000042
776,1959mar,4.96999979
777,1959may,7.949999809
778,1959nov,3.029999971
779,1959oct,11.39999962
780,1959sep,11.65999985
781,1960apr,5.349999905
782,1960aug,13.52999973
783,1960dec,4.050000191
784,1960feb,3.180000067
785,1960jan,2.339999914
786,1960jul,15.59000015
787,1960jun,14.31999969
788,1960mar,5.460000038
789,1960may,8.430000305
790,1960nov,4.690000057
791,1960oct,8.779999733
792,1960sep,11.82999992
793,1961apr,5.539999962
794,1961aug,15.07999992
795,1961dec,2.50999999
796,1961feb,3.980000019
797,1961jan,3.380000114
798,1961jul,15.36999989
799,1961jun,13.77999973
800,1961mar,3.309999943
801,1961may,7.380000114
802,1961nov,4.460000038
803,1961oct,9.140000343
804,1961sep,11.42000008
805,1962apr,6.46999979
806,1962aug,12.88000011
807,1962dec,4.760000229
808,1962feb,2.269999981
809,1962jan,2.200000048
810,1962jul,13.60000038
811,1962jun,11.25
812,1962mar,2.329999924
813,1962may,7.440000057
814,1962nov,6.440000057
815,1962oct,10.10999966
816,1962sep,10.73999977
817,1963apr,3.630000114
818,1963aug,12.90999985
819,1963dec,2.849999905
820,1963feb,6.96999979
821,1963jan,0.079999998
822,1963jul,12.27000046
823,1963jun,10.85000038
824,1963mar,2.49000001
825,1963may,9.109999657
826,1963nov,6.03000021
827,1963oct,10
828,1963sep,13.73999977
829,1964apr,3.930000067
830,1964aug,13.31999969
831,1964dec,4.900000095
832,1964feb,2.130000114
833,1964jan,1.610000014
