,yrmts,ppt
768,1959may,22.5
769,1959nov,0.25999999
770,1959oct,0.349999994
771,1959sep,72.41000366
772,1960apr,103.5999985
773,1960aug,0
774,1960dec,25.5
775,1960feb,35.15999985
776,1960jan,19.45999908
777,1960jul,0.819999993
778,1960jun,0.07
779,1960mar,71.19999695
780,1960may,147.4900055
781,1960nov,34.59999847
782,1960oct,20.79999924
783,1960sep,0.079999998
784,1961apr,108.0999985
785,1961aug,3.220000029
786,1961dec,21.15999985
787,1961feb,38.29999924
788,1961jan,25.63999939
789,1961jul,0
790,1961jun,2.609999895
791,1961mar,61.83000183
792,1961may,120.5299988
793,1961nov,36.09999847
794,1961oct,5.489999771
795,1961sep,11.38000011
796,1962apr,115.8000031
797,1962aug,1.700000048
798,1962dec,26.60000038
799,1962feb,28.79000092
800,1962jan,23.45999908
801,1962jul,0
802,1962jun,0.5
803,1962mar,53.11000061
804,1962may,76.62999725
805,1962nov,39.20000076
806,1962oct,77.69999695
807,1962sep,7.329999924
808,1963apr,87.09999847
809,1963aug,1.059999943
810,1963dec,22.78000069
811,1963feb,43.90000153
812,1963jan,16.27000046
813,1963jul,0
814,1963jun,52.66999817
815,1963mar,56.22999954
816,1963may,150.1999969
817,1963nov,36.20000076
818,1963oct,62.52000046
819,1963sep,0.899999976
820,1964apr,104.0999985
821,1964aug,0.74000001
822,1964dec,25.5
823,1964feb,35.06999969
824,1964jan,18.57999992
825,1964jul,1.789999962
826,1964jun,14.27999973
827,1964mar,59.16999817
828,1964may,48.84000015
829,1964nov,33
830,1964oct,58.20000076
831,1964sep,1.00999999
832,1965apr,102.5
833,1965aug,21.37999916
834,1965dec,15.23999977
835,1965feb,34.06999969
836,1965jan,24.64999962
837,1965jul,0.519999981
838,1965jun,0.25999999
839,1965mar,66.80000305
840,1965may,138.1999969
841,1965nov,36.29999924
842,1965oct,1.149999976
843,1965sep,0
844,1966apr,118.8000031
845,1966aug,8.840000153
846,1966dec,24.5
847,1966feb,24.55999947
848,1966jan,18.53000069
849,1966jul,0.670000017
850,1966jun,2.220000029
851,1966mar,66.69999695
852,1966may,34.75999832
853,1966nov,37.5
854,1966oct,0.059999999
855,1966sep,6.179999828
856,1967apr,60
857,1967aug,0.600000024
858,1967dec,19.65999985
859,1967feb,38.74000168
860,1967jan,24.01000023
861,1967jul,1.00999999
862,1967jun,84.33999634
863,1967mar,54.66999817
864,1967may,157.3000031
865,1967nov,41.09999847
866,1967oct,26.95000076
867,1967sep,2.960000038
868,1968apr,111.0999985
869,1968aug,29.48999977
870,1968dec,12.96000004
871,1968feb,40.79999924
872,1968jan,17.60000038
873,1968jul,0
874,1968jun,0.620000005
875,1968mar,70.59999847
876,1968may,93.11000061
877,1968nov,34.29999924
878,1968oct,47.68000031
879,1968sep,0.560000002
