Site/Project: McLaughlin 80 sites,,,,,,,,,,,
Experiment: Temporal stability,,,,,,,,,,,
Date: Data collected 2009-2010,,,,,,,,,,,
Data description: Trait values,,,,,,,,,,,
Protocols: Traits were collected and measured following the methods of Cornelissen et al. 2003,,,,,,,,,,,
CVS file & path,,,,,,,,,,,
Names of data takers: Harrison Lab,,,,,,,,,,,
"Column info: species, ecotype, height, specific leaf area, leaf area, wet weight, dry weight, leaf water content, carbon:nitrogen, nitrogen, carbon, and functional group",,,,,,,,,,,
"Definitions & Abbreviations: For species and ecotype: s=serpentine, n=non-serpentine, sla = specific leaf area, wgt=weight, lwc = leaf water content, CN  = carbon to nitrogen, N=nitrogen, C = carbon, fnc_grp = functional group",,,,,,,,,,,
species,ecotype,height,sla,area,wet_wgt,dry_wgt,lwc,CN,N,C,fnc_grp
sidalcea_diploscypha_n,n,29.9,215.7332351,29.275,0.8137,0.1357,0.83323092,16.52674897,2.43,40.16,annual forb
sidalcea_diploscypha_s,s,7.7,193.9476314,97.032,3.156,0.5003,0.841476553,13.78350515,2.91,40.11,annual forb
silene_gallica_n,n,42.7,234.4262295,25.74,0.8564,0.1098,0.871788884,23.24840764,1.57,36.5,annual forb
silene_gallica_s,s,25.7,193.7367625,12.806,0.4543,0.0661,0.854501431,13.96078431,2.55,35.6,annual forb
sisyrinchium_bellum_n,n,32.8,206.2942192,95.638,2.3178,0.4636,0.799982742,24.84337349,1.66,41.24,perennial forb
sisyrinchium_bellum_s,s,34.9,153.7578169,81.138,2.2401,0.5277,0.764430159,19.03317536,2.11,40.16,perennial forb
sonchus_oleraceus_n,n,80.5,319.7073216,1711.713,48.023,5.354,0.888511755,9.876456876,4.29,42.37,annual forb
stellaria_media_n,n,30,512.3865878,25.978,0.4797,0.0507,0.894308943,12.26732673,3.03,37.17,annual forb
stellaria_nitens_n,n,39.8,796.9354839,19.764,0.3484,0.0248,0.928817451,20.49714286,1.75,35.87,annual forb
taeniatherum_caput_medusae_n,n,41.2,206.031746,3.894,0.0469,0.0189,0.597014925,71.12280702,0.57,40.54,annual grass
taeniatherum_caput_medusae_s,s,44.8,227.8054299,10.069,0.1185,0.0442,0.627004219,89.675,0.4,35.87,annual grass
thysanocarpus_curvipes_n,n,36.6,214.8205128,8.378,0.1937,0.039,0.798657718,16.00406504,2.46,39.37,annual forb
torilis_arvensis_n,n,29.8,381.9946572,42.898,0.4647,0.1123,0.758338713,15.23828125,2.56,39.01,annual forb
torilis_arvensis_s,s,16.3,337.3627617,59.612,0.8448,0.1767,0.790838068,18.15816327,1.96,35.59,annual forb
torilis_nodosa_n,n,12.4,296.1470138,96.692,1.8837,0.3265,0.826670914,15.14056225,2.49,37.7,annual forb
trifolium_albopurpureum_n,n,12.55,192.31508,11.479,0.19185,0.0595,0.689861871,12.53448276,3.48,43.62,annual forb
trifolium_albopurpureum_s,s,10.9,250.13449,9.935,0.1793,0.037,0.793641941,11.4386921,3.67,41.98,annual forb
trifolium_bifidum_n,n,18.55,316.86212,18.659,0.25485,0.05925,0.7675103,10,4.44,44.4,annual forb
trifolium_bifidum_s,s,21.7,313.5195531,11.224,0.1696,0.0358,0.788915094,11.19121447,3.87,43.31,annual forb
trifolium_ciliolatum_n,n,9.3,291.4872364,26.263,0.3817,0.0901,0.763950747,9.788372093,4.3,42.09,annual forb
trifolium_depauperatum_n,n,13.3,299.3856655,8.772,0.121,0.0293,0.75785124,11.34357542,3.58,40.61,annual forb
trifolium_dubium_n,n,8.4,311.3888889,7.847,0.0718,0.0252,0.64902507,15.86785714,2.8,44.43,annual forb
trifolium_dubium_s,s,13.9,358.8687783,7.931,0.0925,0.0221,0.761081081,20.73557692,2.08,43.13,annual forb
trifolium_fucatum_n,n,24.5,336.9976359,28.51,0.7638,0.0846,0.88923802,8.801864802,4.29,37.76,annual forb
trifolium_fucatum_s,s,24.9,179.9469453,111.927,3.9567,0.622,0.842798292,9.368421053,4.37,40.94,annual forb
trifolium_gracilentum_n,n,8.3,242,4.598,0.076,0.019,0.75,11.06701031,3.88,42.94,annual forb
trifolium_hirtum_n,n,7.6,269.1407223,43.224,0.7908,0.1606,0.796914517,13.040625,3.2,41.73,annual forb
trifolium_hirtum_s,s,14.63,191.8261688,61.135,1.2471,0.3187,0.744447117,12.52852853,3.33,41.72,annual forb
trifolium_microcephalum_n,n,9.65,353.95701,10.798,0.12285,0.03095,0.748066748,11.13368984,3.74,41.64,annual forb
trifolium_microcephalum_s,s,12.2,271.1019284,9.841,0.1339,0.0363,0.728902166,22.09375,1.92,42.42,annual forb
trifolium_microdon_n,n,12.4,321.5875,25.727,0.3874,0.08,0.793495096,0,0,0,annual forb
trifolium_microdon_s,s,12.4,310.125523,14.824,0.2022,0.0478,0.763600396,0,0,0,annual forb
trifolium_variegatum_s,s,17.7,271.4588235,11.537,0.2075,0.0425,0.795180723,18.08681672,3.49,41.44,annual forb
trifolium_willdenovii_n,n,26.9,266.885333,13.863,0.21665,0.05335,0.753750288,9.435079727,4.39,41.42,annual forb
trifolium_willdenovii_s,s,22.4,176.6455696,8.373,0.1687,0.0474,0.71902786,11.85617597,5.91,70.07,annual forb
triphysaria_eriantha_s,s,7.68,199.9698795,6.639,0.1424,0.0332,0.766853933,19.71505376,1.86,36.67,annual forb
triteleia_laxa_n,n,32,126.0258492,186.241,6.90895,1.4778,0.786103532,39.14141414,0.99,38.75,perennial forb
uropappus_lindleyi_n,n,18.15,279.6995708,19.551,0.4615,0.0699,0.848537378,27.87234043,1.41,39.3,annual forb
uropappus_lindleyi_s,s,28.4,330.0497512,19.902,0.4406,0.0603,0.863141171,21.59685864,1.91,41.25,annual forb
velezia_rigida_n,n,19.8,166.9323671,6.911,0.0867,0.0414,0.522491349,0,0,0,annual forb
vicia_villosa_n,n,51,340.3370787,6.058,0.1091,0.0178,0.836846929,10.72040302,3.97,42.56,annual forb
vicia_villosa_s,s,23.6,177.5662651,29.476,0.562,0.166,0.704626335,12.66467066,3.34,42.3,annual forb
viola_douglasii_s,s,9.91,121.2848297,39.175,1.7371,0.323,0.814057913,12.13450292,3.42,41.5,annual forb
vulpia_bromoides_n,n,19.6,188.5652174,4.337,0.07,0.023,0.671428571,31.90322581,1.24,39.56,annual grass
vulpia_bromoides_s,s,16.9,164.152381,8.618,0.1634,0.0525,0.67870257,51.1375,0.8,40.91,annual grass
vulpia_microstachys_n,n,18.55,209.1666667,2.761,0.0346,0.0132,0.61849711,27.83802817,1.42,39.53,annual grass
vulpia_microstachys_s,s,21.75,181.3432836,3.645,0.0535,0.0201,0.624299065,33.52212389,1.13,37.88,annual grass
vulpia_myuros_n,n,33.4,211.9047619,4.895,0.0734,0.0231,0.685286104,102.7948718,0.39,40.09,annual grass
vulpia_myuros_s,s,25.9,104.3926789,12.548,0.35,0.1202,0.656571429,33.78991597,1.19,40.21,annual grass
vulpia_octoflora_n,n,5.3,2658.235294,4.519,0.025,0.0017,0.932,0,0,0,annual grass
zigadenus_fremontii_n,n,28.2,131.5183572,126.81,6.7037,0.9642,0.856168981,20.62564103,1.95,40.22,perennial forb
zigadenus_fremontii_s,s,29.6,155.1146894,408.448,15.229,2.6332,0.827093046,20.62564103,1.95,40.22,perennial forb
