"Site*L","Site","Sample_ID","Date_Analysis","Organic_Matter","ENR","Bray P","Olsen P","pH","K","Mg","Ca","Ca_Mg","Na","H","CEC","K_PCT","MG_PCT","CA_PCT","H_PCT","NA_PCT","NO3_N","S","Zinc","Manganese","Iron","Copper","Boron","Cobalt","Nickel","Sol__Salts","SAND","SILT","CLAY","TEXTURE"
"67*L",67,"SH067","""9/19/01""",6.30,155.00,14.20,18.60,6.50,268.90,519.50,2111.00,4.06,14.70,1.30,16.80,4.10,25.40,62.60,7.50,0.40,2.60,0.00,3.30,30.50,32.80,2.00,0.80,0.37,5.91,0.20,26.80,40.00,33.20,"CLAY LOAM"
"68*L",68,"SH068","""9/19/01""",4.60,121.00,4.30,4.80,7.10,134.20,2017.00,2201.00,1.09,18.40,0.00,28.00,1.20,59.30,39.20,0.00,0.30,2.70,0.00,1.70,15.80,16.30,1.50,0.50,0.28,14.73,0.20,50.80,20.00,29.20,"SANDY CLAY LOAM"
"69*L",69,"SH069","""9/19/01""",3.20,93.00,2.60,2.20,7.40,61.90,2142.00,2260.00,1.05,23.40,0.00,29.20,0.50,60.40,38.70,0.00,0.30,2.40,0.00,0.80,6.10,4.20,0.90,0.60,0.18,7.44,0.30,44.80,18.00,37.20,"CLAY LOAM"
"70*L",70,"SH070","""9/19/01""",3.00,89.00,6.90,2.50,6.60,258.80,999.20,3241.00,3.24,16.10,1.60,26.70,2.50,30.70,60.50,6.00,0.30,2.00,0.00,1.00,14.50,12.40,2.20,0.60,0.25,1.64,0.20,46.80,16.00,37.20,"SANDY CLAY"
"71*L",71,"SH071","""9/19/01""",2.70,84.00,24.50,24.80,6.10,193.00,849.90,2643.00,3.10,17.60,3.40,24.10,2.00,29.00,54.70,14.00,0.30,2.00,0.00,1.20,27.00,31.00,2.30,0.60,0.18,1.33,0.20,38.50,37.50,24.00,"LOAM"
"72*L",72,"SH072","""9/19/01""",4.50,119.00,16.90,14.40,5.90,191.00,482.80,1470.00,3.04,13.40,2.40,14.30,3.40,27.80,51.40,17.00,0.40,2.00,3.60,2.60,40.00,71.00,1.50,0.20,0.30,3.34,0.20,56.80,26.00,17.20,"SANDY LOAM"
"73*L",73,"SH073","""9/19/01""",4.50,119.00,28.10,18.60,6.80,274.90,563.10,2454.00,4.35,9.90,0.50,18.20,3.90,25.50,67.40,3.00,0.20,2.00,0.00,1.80,20.00,36.00,1.50,0.40,0.14,2.54,0.40,54.80,26.00,19.20,"SANDY LOAM"
"74*L",74,"SH074","""9/19/01""",3.20,93.00,6.70,4.70,6.40,241.20,897.70,1686.00,1.87,13.90,1.60,18.10,3.40,40.80,46.50,9.00,0.30,5.00,0.00,1.60,15.20,23.80,1.60,0.30,0.21,2.27,0.20,56.80,22.00,21.20,"SANDY CLAY LOAM"
"75*L",75,"SH075","""9/19/01""",3.30,97.00,26.10,22.30,6.50,293.80,496.00,4258.00,8.58,14.10,2.10,28.30,2.70,14.40,75.20,7.50,0.20,4.70,0.00,2.60,17.60,18.20,1.80,0.40,0.16,0.67,0.10,60.80,16.00,23.20,"SANDY CLAY LOAM"
"76*L",76,"SH076","""9/19/01""",4.90,128.00,26.40,14.20,6.30,200.10,1245.00,2860.00,2.29,18.20,2.90,28.00,1.80,36.50,50.90,10.50,0.30,4.30,0.00,1.90,22.00,26.70,1.60,0.60,0.17,1.60,0.20,38.80,30.00,31.20,"CLAY LOAM"
"77*L",77,"SH077","""9/19/01""",4.10,113.00,12.70,10.90,6.20,254.80,791.30,2150.00,2.71,13.20,2.40,20.40,3.20,31.90,52.60,12.00,0.30,3.90,0.40,3.00,23.50,41.50,2.90,0.50,0.23,4.53,0.20,20.80,36.00,43.20,"CLAY"
"78*L",78,"SH078","""9/19/01""",3.70,103.00,7.00,10.00,6.00,150.80,603.70,1791.00,2.96,15.40,2.50,16.90,2.30,29.40,52.90,15.00,0.40,3.30,0.00,2.20,48.70,34.80,2.20,0.40,0.39,25.82,0.10,46.80,30.00,23.20,"LOAM"
"79*L",79,"SH079","""9/19/01""",4.10,112.00,6.40,2.60,5.70,108.00,397.40,1388.00,3.49,14.10,2.80,13.30,2.10,24.50,52.00,21.00,0.50,2.60,0.00,2.70,39.10,72.50,2.00,0.30,0.38,3.38,0.10,52.80,30.00,17.20,"SANDY LOAM"
"80*L",80,"SH080","""9/19/01""",4.00,111.00,8.80,4.20,5.80,154.40,549.60,2164.00,3.93,13.20,3.70,19.50,2.00,23.20,55.50,19.00,0.30,3.30,0.00,2.30,32.70,40.60,1.90,0.20,0.26,1.33,0.20,54.80,22.00,23.20,"SANDY CLAY LOAM"
"81*L",81,"SH081","""9/19/01""",2.40,78.00,4.70,2.70,7.10,90.30,1856.00,544.90,0.29,9.50,0.00,18.30,1.30,83.60,14.90,0.00,0.20,2.90,0.00,0.80,13.20,13.70,1.00,0.10,0.86,23.04,0.20,62.80,14.00,23.20,"SANDY CLAY LOAM"
"82*L",82,"SH082","""9/19/01""",3.00,89.00,2.30,8.40,7.10,129.50,2404.00,592.90,0.24,9.90,0.00,23.10,1.40,85.60,12.80,0.00,0.20,3.00,0.00,0.80,14.50,16.50,1.50,0.20,1.14,61.25,0.20,46.00,20.00,34.00,"SANDY CLAY LOAM"
"83*L",83,"SH083","""9/19/01""",4.60,122.00,10.00,8.20,7.40,185.60,2545.00,965.40,0.37,12.90,0.00,26.30,1.80,79.60,18.30,0.00,0.20,3.20,0.70,2.50,13.60,16.00,2.70,0.30,0.50,18.93,0.20,46.00,20.00,34.00,"SANDY CLAY LOAM"
"84*L",84,"SH084","""9/19/01""",3.10,91.00,2.50,4.10,6.90,411.00,2138.00,561.50,0.26,9.30,0.30,21.80,4.80,80.60,12.90,1.50,0.20,7.80,0.00,1.00,24.80,14.90,1.10,0.30,1.73,40.70,0.30,54.00,17.00,29.00,"SANDY CLAY LOAM"
"85*L",85,"SH085","""9/19/01""",3.30,96.00,1.00,2.30,8.10,202.10,3935.00,1430.00,0.36,26.50,0.00,40.10,1.30,80.60,17.80,0.00,0.30,2.60,0.00,1.00,8.20,9.40,2.00,0.10,0.38,5.35,0.30,11.80,17.30,70.90,"CLAY"
"86*L",86,"SH086","""9/19/01""",4.20,113.00,8.70,6.50,7.10,183.50,2196.00,692.30,0.31,12.20,0.00,22.00,2.10,82.00,15.70,0.00,0.20,4.30,0.40,1.00,5.90,6.80,1.50,0.10,0.99,27.65,0.30,58.00,13.30,28.70,"SANDY CLAY LOAM"
"87*L",87,"SH087","""9/19/01""",2.90,88.00,8.30,6.10,6.90,174.20,1693.00,516.00,0.30,11.40,0.30,17.30,2.60,80.70,14.90,1.50,0.30,2.60,0.00,0.90,6.70,7.80,1.70,0.10,0.87,30.93,0.10,50.80,24.00,25.20,"SANDY CLAY LOAM"
"88*L",88,"SH088","""9/19/01""",3.50,100.00,6.60,8.30,6.30,156.20,1245.00,799.70,0.64,13.50,1.70,16.40,2.40,62.40,24.30,10.50,0.40,2.60,0.00,2.70,30.00,24.00,1.30,0.10,1.02,35.75,0.10,50.80,30.00,19.20,"LOAM"
"89*L",89,"SH089","""9/19/01""",3.60,103.00,6.40,4.60,6.90,236.20,2326.00,774.60,0.33,11.90,0.40,24.00,2.50,79.70,16.10,1.50,0.20,3.60,0.00,0.90,45.00,21.00,2.30,0.40,0.79,18.30,0.20,0.00,0.00,0.00,"No Value"
"90*L",90,"SH090","""9/19/01""",2.80,87.00,6.60,2.10,7.40,112.00,1731.00,539.50,0.31,14.50,0.00,17.30,1.70,82.40,15.60,0.00,0.40,2.90,0.00,0.40,4.00,6.00,0.80,1.00,0.42,17.28,0.20,61.00,17.50,21.50,"SANDY CLAY LOAM"
"91*L",91,"SH091","""9/19/01""",3.90,108.00,2.90,1.00,6.70,324.90,2650.00,1604.00,0.60,16.40,1.40,32.10,2.60,67.80,24.90,4.50,0.20,2.60,0.00,2.70,17.40,17.50,3.00,0.50,0.24,7.06,0.10,20.80,20.00,59.20,"CLAY"
"92*L",92,"SH092","""9/19/01""",2.80,85.00,4.10,1.00,7.10,152.70,3791.00,1658.00,0.43,19.10,0.00,39.90,1.00,78.10,20.70,0.00,0.20,2.90,0.00,1.10,13.10,11.70,1.90,0.40,0.20,3.82,0.10,26.80,22.00,51.20,"CLAY"
"93*L",93,"SH093","""9/19/01""",4.40,117.00,2.20,1.00,6.90,211.70,3030.00,920.20,0.30,14.00,0.50,30.60,1.80,81.50,15.00,1.50,0.20,2.90,0.00,2.10,17.70,13.20,2.20,0.30,0.68,28.36,0.20,28.00,20.00,52.00,"CLAY"
"94*L",94,"SH094","""9/19/01""",4.80,126.00,6.30,4.20,6.70,301.60,510.30,2893.00,5.66,11.40,0.90,20.40,3.80,20.60,70.90,4.50,0.20,2.40,0.00,1.20,29.30,23.00,1.90,0.80,0.28,3.41,0.20,22.80,34.00,43.20,"CLAY"
"95*L",95,"SH095","""9/19/01""",4.10,112.00,6.00,1.00,6.30,166.00,911.10,1784.00,1.95,18.20,2.00,18.90,2.20,39.70,47.20,10.50,0.40,2.40,0.00,2.30,23.90,39.40,3.00,0.30,0.46,4.94,0.10,32.80,34.00,33.20,"CLAY LOAM"
"96*L",96,"SH096","""9/19/01""",3.40,99.00,14.10,1.00,7.10,256.00,1237.00,2856.00,2.30,15.20,0.00,25.10,2.60,40.50,56.70,0.00,0.30,2.40,0.00,2.00,18.60,18.30,2.30,0.30,0.24,1.82,0.10,32.80,34.00,33.20,"CLAY LOAM"
