id,seed_mass_g
Acacia_hispidula,47.54
Acacia_hockii,32.15
Acacia_holosericea,7.52
Acacia_homalophylla,11.82
Acacia_howittii,5.21
Acacia_hubbardiana,9.12
Acacia_humifusa,26.6
Acacia_hyaloneura,5.21
Acacia_imbricata,9.81
Acacia_implexa,18.2
Acacia_inaequilatera,41.98
Acacia_incanicarpa,9.08
Acacia_inceana,11.46
Acacia_ingramii,20.42
Acacia_inophloia,4.53
Acacia_insolita,11.11
Acacia_irrorata,7.79
Acacia_iteaphylla,27.7
Acacia_ixiophylla,6.5
Acacia_jennerae,71.66
Acacia_johnwoodii,136.56
Acacia_jonesii,13.75
Acacia_jucunda,15.46
Acacia_julifera,26.36
Acacia_juncifolia,7.45
Acacia_juncifolia,9.6
Acacia_juniperina,12.03
Acacia_karroo,33.69
Acacia_kempeana,14.78
Acacia_kettlewelliae,16.71
Acacia_kirkii,53.14
Acacia_koa,90.9
Acacia_kosiensis,72.18
Acacia_kraussiana,107.46
Acacia_kybeanensis,15.8
Acacia_kydrensis,15.22
Acacia_lachnophylla,1.92
Acacia_laeta,83.51
Acacia_lanigera,10.2
Acacia_lanigera,15.42
Acacia_lasiocalyx,24.9
Acacia_lasiocarpa,3.11
Acacia_lasiocarpa,5.02
Acacia_lasiocarpa,5.05
Acacia_lateriticola,5.6
Acacia_latipes,4.51
Acacia_latisepala,66.22
Acacia_latzii,12.644
Acacia_legnota,36.33
Acacia_leiocalyx,3.957
Acacia_leiocalyx,10.71
Acacia_leiophylla,11.65
Acacia_leprosa,5
Acacia_leptocarpa,10.32
Acacia_leptoclada,13.37
Acacia_leptospermoides,1.36
Acacia_leptostachya,3.97
Acacia_leucoclada,17.21
Acacia_leucolobia,25.76
Acacia_leucophloea,24
Acacia_leucophylla,20.28
Acacia_ligulata,27.6
Acacia_ligustrina,3.82
Acacia_linearifolia,21.97
Acacia_linearis,11.3
Acacia_lineata,10.79
Acacia_lineolata,2.72
Acacia_linifolia,23.9
Acacia_lirellata,2.79
Acacia_lirellata,4
Acacia_longifolia,14.9
Acacia_longifolia,15.68
Acacia_longifolia,16.81
Acacia_longispicata,12.51
Acacia_longispinea,5
Acacia_longissima,11.8
Acacia_lucasii,13.28
Acacia_luederitzii,48.05
Acacia_luederitzii,62.5
Acacia_luederitzii,84.77
Acacia_lutea,40
Acacia_lysiphloia,17.88
